,Unnamed: 0,Unnamed: 0.1,url,title,text,topic,tags,id,raw_lemmatized,lemmatized,ngramms,vw_text
280,1180,1180,https://lenta.ru/news/2016/01/15/gazprom_finansi/,«Газпром» получил миллиардные убытки,"«Газпром» по итогам третьего квартала 2015 года получил чистый убыток в размере двух миллиардов рублей, сообщает Rambler News Service со ссылкой на финансовую отчетность компании. За аналогичный период прошлого года нефтегазовый холдинг заработал 105,7 миллиарда рублей прибыли. Совокупный доход акционеров монополии, несмотря на отрицательный экономический результат работы в июле-сентябре 2015-го, вырос на 64 процента, составив 258 миллиардов рублей. Выручка «Газпрома» за квартал выросла с 1,13 триллиона рублей до 1,29 триллиона, а операционные расходы увеличились с 770 до почти 948 миллиардов рублей. Чистый долг компании на 30 сентября прошлого года составил более двух миллиардов рублей, увеличившись с конца 2014-го на 23 процента. В ноябре прошлого года сообщалось, что совокупные доходы членов правления «Газпрома» по итогам девяти месяцев составили 1,74 миллиарда рублей — на 8,5 процента больше, чем в январе-сентябре 2014-го. Тогда же председатель правления госкомпании Алексей Миллер впервые возглавил рейтинг самых дорогих российских топ-менеджеров по версии журнала Forbes. Издание оценивало его вознаграждение за 2014 год в 27 миллионов долларов.",Бизнес,Бизнес,1180,"« газпром » по итог третье квартал 2015 год получить чистый убыток в размер два миллиард рубль , сообщать rambler news service с ссылка на финансовый отчётность компания . за аналогичный период прошлое год нефтегазовый холдинг заработать 105 , 7 миллиард рубль прибыть . совокупный доход акционер монополия , несмотря на отрицательный экономический результат работа в июль - сентябрь 2015-го , вырасти на 64 процент , составить 258 миллиард рубль . выручка « газпром » за квартал вырасти с 1 , 13 триллион рубль до 1 , 29 триллион , а операционный расход увеличиться с 770 до почти 948 миллиард рубль . чистый долг компания на 30 сентябрь прошлое год составить более два миллиард рубль , увеличиться с конец 2014-го на 23 процент . В ноябрь прошлое год сообщаться , что совокупный доход член правление « газпром » по итог девять месяц составить 1 , 74 миллиард рубль — на 8 , 5 процент большой , чем в январь - сентябрь 2014-го . тогда же председатель правление госкомпания <person> <person> впервые возглавить рейтинг самый дорогой российский топ-менеджер по версия журнал forbes . издание оценивать он вознаграждение за 2014 год в 27 миллион доллар .",газпром итог третье квартал год получить чистый убыток размер миллиард рубль сообщать rambler service ссылка финансовый отчётность компания . аналогичный период прошлое год нефтегазовый холдинг заработать миллиард рубль прибыть . совокупный доход акционер монополия несмотря отрицательный экономический результат работа вырасти процент составить миллиард рубль . выручка газпром квартал вырасти триллион рубль триллион операционный расход увеличиться миллиард рубль . чистый долг компания прошлое год составить миллиард рубль увеличиться конец процент . В прошлое год сообщаться что совокупный доход член правление газпром итог девять месяц составить миллиард рубль процент большой . председатель правление госкомпания <person> <person> впервые возглавить рейтинг дорогой российский версия журнал forbes . издание оценивать вознаграждение год миллион доллар .,третье_квартал получить_чистый убыток_в_размер сообщать_rambler_news_service финансовый_отчётность аналогичный_период_прошлое_год миллиард_рубль миллиард_рубль миллиард_рубль миллиард_рубль совокупный_доход совокупный_доход результат_работа триллион_рубль операционный_расход чистый_долг прошлое_год прошлое_год член_правление девять_месяц процент_большой председатель_правление <person>_<person> возглавить_рейтинг топ_менеджер журнал_forbes миллион_доллар,1180 |text газпром итог третье квартал год получить чистый убыток размер миллиард рубль сообщать rambler service ссылка финансовый отчётность компания . аналогичный период прошлое год нефтегазовый холдинг заработать миллиард рубль прибыть . совокупный доход акционер монополия несмотря отрицательный экономический результат работа вырасти процент составить миллиард рубль . выручка газпром квартал вырасти триллион рубль триллион операционный расход увеличиться миллиард рубль . чистый долг компания прошлое год составить миллиард рубль увеличиться конец процент . В прошлое год сообщаться что совокупный доход член правление газпром итог девять месяц составить миллиард рубль процент большой . председатель правление госкомпания <person> <person> впервые возглавить рейтинг дорогой российский версия журнал forbes . издание оценивать вознаграждение год миллион доллар . |ngramms третье_квартал получить_чистый убыток_в_размер сообщать_rambler_news_service финансовый_отчётность аналогичный_период_прошлое_год миллиард_рубль миллиард_рубль миллиард_рубль миллиард_рубль совокупный_доход совокупный_доход результат_работа триллион_рубль операционный_расход чистый_долг прошлое_год прошлое_год член_правление девять_месяц процент_большой председатель_правление <person>_<person> возглавить_рейтинг топ_менеджер журнал_forbes миллион_доллар
471,1371,1371,https://lenta.ru/news/2016/10/05/rosatom_gendir/,В «Росатоме» сообщили о назначении нового гендиректора,"Исполняющим обязанности гендиректора «Росатома» назначен Александр Локшин, передает РИА Новости. «До выхода указа президента России о назначении нового генерального директора госкорпорации Александру Марковичу Локшину поручено осуществлять оперативное руководство атомной отраслью», — сообщил агентству официальный госкорпорации. Он уточнил, что назначение Локшина соответствует установленному порядку, в соответствии с которым во время отсутствия гендиректора его обязанности исполняет первый заместитель по операционному управлению. 5 октября президент России Владимир Путин подписал указ о назначении Сергея Кириенко, возглавлявшего «Росатом», первым замруководителя администрации Кремля. Ранее в среду Путин своим указом освободил от должности первого замглавы АП Вячеслава Володина. Кириенко занимал пост генерального директора госкорпорации «Росатом» с декабря 2007 года, до этого в течение двух лет возглавлял Федеральное агентство по атомной энергии. С 2000-го по 2005 год он был полномочным представителем президента в Приволжском федеральном округе.",Бизнес,Бизнес,1371,"исполнять обязанность гендиректор « росатом » назначить <person> локшина , передавать риа новость . « до выход указ президент россия о назначение новое генеральный директор госкорпорация <person> <person> локшина поручить осуществлять оперативный руководство атомный отрасль » , — сообщить агентство официальный госкорпорация . он уточнить , что назначение локшина соответствовать установленный порядок , в соответствие с который в время отсутствие гендиректор он обязанность исполнять один заместитель по операционный управление . 5 октябрь президент россия <person> <person> подписать указ о назначение <person> <person> , возглавлять « росатом » , один замруководитель администрация кремль . ранее в среда <person> свой указ освободить от должность первое замглавы ап <person> <person> . <person> занимать пост генеральный директор госкорпорация « росатом » с декабрь 2007 год , до это в течение два год возглавлять федеральный агентство по атомный энергия . С 2000-го по 2005 год он быть полномочный представитель президент в приволжский федеральный округа .",исполнять обязанность гендиректор росатом назначить <person> локшина передавать новость . выход указ президент россия назначение новое генеральный директор госкорпорация <person> <person> локшина поручить осуществлять оперативный руководство атомный отрасль сообщить агентство официальный госкорпорация . уточнить что назначение локшина соответствовать установленный порядок соответствие время отсутствие гендиректор обязанность исполнять заместитель операционный управление . президент россия <person> <person> подписать указ назначение <person> <person> возглавлять росатом замруководитель администрация кремль . <person> указ освободить должность первое замглавы ап <person> <person> . <person> занимать пост генеральный директор госкорпорация росатом год год возглавлять федеральный агентство атомный энергия . С год быть полномочный представитель президент приволжский федеральный округа .,исполнять_обязанность назначить_<person> передавать_риа_новость президент_россия генеральный_директор генеральный_директор <person>_<person> <person>_<person> <person>_<person> атомный_отрасль сообщить_агентство установленный_порядок операционный_управление президент_россия_<person>_<person> подписать_указ занимать_пост федеральный_агентство атомный_энергия год_он_быть федеральный_округа,1371 |text исполнять обязанность гендиректор росатом назначить <person> локшина передавать новость . выход указ президент россия назначение новое генеральный директор госкорпорация <person> <person> локшина поручить осуществлять оперативный руководство атомный отрасль сообщить агентство официальный госкорпорация . уточнить что назначение локшина соответствовать установленный порядок соответствие время отсутствие гендиректор обязанность исполнять заместитель операционный управление . президент россия <person> <person> подписать указ назначение <person> <person> возглавлять росатом замруководитель администрация кремль . <person> указ освободить должность первое замглавы ап <person> <person> . <person> занимать пост генеральный директор госкорпорация росатом год год возглавлять федеральный агентство атомный энергия . С год быть полномочный представитель президент приволжский федеральный округа . |ngramms исполнять_обязанность назначить_<person> передавать_риа_новость президент_россия генеральный_директор генеральный_директор <person>_<person> <person>_<person> <person>_<person> атомный_отрасль сообщить_агентство установленный_порядок операционный_управление президент_россия_<person>_<person> подписать_указ занимать_пост федеральный_агентство атомный_энергия год_он_быть федеральный_округа
301,1201,1201,https://lenta.ru/news/2017/12/25/ups_delivery/,Американская компания привлекла бухгалтеров к доставке посылок,"Американская компания экспресс-доставки United Parcel Service (UPS) подключила несколько сотен своих офисных сотрудников к доставке посылок в связи с повышением количества заказов в преддверии Рождества. Об этом сообщает The Wall Street Journal. Компания перед праздниками обычно отдельно нанимает команды, которые помогают справиться с большим объемом заказов, однако в этом году UPS, чтобы осуществлять доставку в срок, была вынуждена привлечь к этому еще и бухгалтеров, маркетологов и других офисных сотрудников. В частности, некоторые из них доставляли посылки на личном транспорте, других попросили переодеться и пойти помогать в ближайшее отделение доставки. Пресс-секретарь UPS Стив Гот, говоря о помощи офисных сотрудников в доставке посылок в преддверии Рождества, пояснил, что для компании было важно, чтобы не возникало задержек. Причиной сложившейся ситуации стало большое количество онлайн-покупок в этом году. Кроме того, UPS столкнулась с проблемой в найме сезонных рабочих, поскольку в США зафиксирована самая низкая безработица с декабря 2000 года (4,1 процента).",Экономика,Бизнес,1201,"американский компания экспресс-доставка united parcel service ( ups ) подключить несколько сотня свой офисный сотрудник к доставка посылка в связь с повышение количество заказ в преддверие рождество . о это сообщать the wall street journal . компания перед праздник обычно отдельно нанимать команда , который помогать справиться с больший объём заказ , однако в это год ups , чтобы осуществлять доставка в срок , быть вынудить привлечь к это ещё и бухгалтер , маркетолог и другой офисный сотрудник . В частность , некоторый из они доставлять посылка на личный транспорт , другой попросить переодеться и пойти помогать в ближний отделение доставка . пресс-секретарь ups <person> гот , говорить о помощь офисный сотрудник в доставка посылка в преддверие рождество , пояснить , что для компания быть важный , чтобы не_возникать задержка . причина сложиться ситуация стать большой количество онлайн - покупка в это год . кроме тот , ups столкнуться с проблема в найм сезонный рабочий , поскольку в сша зафиксировать самый низкий безработица с декабрь 2000 год ( 4 , 1 процент ) .",американский компания united parcel service ups подключить сотня офисный сотрудник доставка посылка повышение количество заказ преддверие рождество . сообщать wall street journal . компания праздник обычно отдельно нанимать команда помогать справиться объём заказ год ups осуществлять доставка срок быть вынудить привлечь бухгалтер маркетолог офисный сотрудник . В некоторый доставлять посылка личный транспорт попросить переодеться пойти помогать ближний отделение доставка . ups <person> гот помощь офисный сотрудник доставка посылка преддверие рождество пояснить что компания быть важный не_возникать задержка . причина сложиться ситуация стать большой количество онлайн покупка год . ups столкнуться проблема найм сезонный рабочий поскольку сша зафиксировать низкий безработица год процент .,американский_компания экспресс_доставка wall_street_journal быть_вынудить пресс_секретарь компания_быть сложиться_ситуация большой_количество,1201 |text американский компания united parcel service ups подключить сотня офисный сотрудник доставка посылка повышение количество заказ преддверие рождество . сообщать wall street journal . компания праздник обычно отдельно нанимать команда помогать справиться объём заказ год ups осуществлять доставка срок быть вынудить привлечь бухгалтер маркетолог офисный сотрудник . В некоторый доставлять посылка личный транспорт попросить переодеться пойти помогать ближний отделение доставка . ups <person> гот помощь офисный сотрудник доставка посылка преддверие рождество пояснить что компания быть важный не_возникать задержка . причина сложиться ситуация стать большой количество онлайн покупка год . ups столкнуться проблема найм сезонный рабочий поскольку сша зафиксировать низкий безработица год процент . |ngramms американский_компания экспресс_доставка wall_street_journal быть_вынудить пресс_секретарь компания_быть сложиться_ситуация большой_количество
267,1167,1167,https://lenta.ru/news/2013/09/23/store/,Торговую сеть «Седьмой континент» выставили на продажу,"Владелец супермаркетов «Седьмой континент» Александр Занадворов выставил на продажу операционную компанию торговой сети и права аренды 130 из 160 магазинов сроком на 15 лет. Об этом в номере от 23 сентября пишет «Коммерсантъ» со ссылкой на неназванные источники. Покупатель может отказаться от бренда «Седьмой континент», отмечается в публикации. По информации издания, в начале августа Занадворов предложил лидерам розничного рынка поучаствовать в тендере. Победителем предлагалось объявить компанию, которая предложит лучшую ставку аренды 130 магазинов общей площадью 450 тысяч квадратных метров. Также на торги было выставлено ОАО «Седьмой континент», которому принадлежат права на товарные знаки сети. Всю недвижимость, принадлежащую Занадворову, планируется передать на баланс отдельной структуры, контроль над которой сохранит сам предприниматель. По информации «Коммерсанта», тендер выиграла X5 Retail Group, которая предложила платить по 550 долларов за аренду квадратного метра в год. Таким образом, 130 магазинов могут приносить 157-270 миллионов долларов в год, что составит 2,3-4 миллиарда долларов за 15 лет. Торговая сеть «Седьмой континент» включает 160 магазинов, из которых 30 не подконтрольны Занадворову. По итогам 2012 года чистая прибыль супермаркетов по российским стандартам бухгалтерской отчетности составила около 100 миллионов долларов при выручке в два миллиарда долларов. X5 Retail Group контролирует магазины «Пятерочка», «Перекресток», «Карусель». Крупнейший собственник сети — «Альфа-групп» с долей в 47,86 процента акций. В прошлом году X5 получила убыток в размере 126 миллионов долларов при выручке в 15,8 миллиарда долларов (по международным стандартам финансовой отчетности).",Экономика,Бизнес,1167,"владелец супермаркет « семь континент » <person> занадвор выставить на продажа операционный компания торговый сеть и право аренда 130 из 160 магазин срок на 15 год . о это в номер от 23 сентябрь писать « коммерсантъ » с ссылка на неназванный источник . покупатель мочь отказаться от бренд « семь континент » , отмечаться в публикация . по информация издание , в начало август занадвор предложить лидер розничный рынок поучаствовать в тендер . победитель предлагаться объявить компания , который предложить хороший ставка аренда 130 магазин общий площадь 450 тысяча квадратный метр . также на торг быть выставить оао « семь континент » , который принадлежать право на товарный знак сеть . весь недвижимость , принадлежащий <person> , планироваться передать на баланс отдельный структура , контроль над который сохранить сам предприниматель . по информация « коммерсант » , тендер выиграть x5 retail group , который предложить платить по 550 доллар за аренда квадратный метр в год . такой образ , 130 магазин мочь приносить 157 - 270 миллион доллар в год , что составить 2 , 3 - 4 миллиард доллар за 15 год . торговый сеть « семь континент » включать 160 магазин , из который 30 не подконтрольный <person> . по итог 2012 год чистый прибыль супермаркет по российский стандарт бухгалтерский отчётность составить около 100 миллион доллар при выручка в два миллиард доллар . x5 retail group контролировать магазин « пятёрочка » , « перекрёсток » , « карусель » . крупный собственник сеть — « альфа-группа » с доля в 47 , 86 процент акция . В прошлое год x5 получить убыток в размер 126 миллион доллар при выручка в 15 , 8 миллиард доллар ( по международный стандарт финансовый отчётность ) .",владелец супермаркет семь континент <person> занадвор выставить продажа операционный компания торговый сеть право аренда магазин срок год . номер писать коммерсантъ ссылка неназванный источник . покупатель мочь отказаться бренд семь континент отмечаться публикация . информация издание начало занадвор предложить лидер розничный рынок поучаствовать тендер . победитель предлагаться объявить компания предложить хороший ставка аренда магазин площадь тысяча квадратный метр . торг быть выставить оао семь континент принадлежать право товарный знак сеть . недвижимость принадлежащий <person> планироваться передать баланс отдельный структура контроль сохранить предприниматель . информация коммерсант тендер выиграть retail group предложить платить доллар аренда квадратный метр год . образ магазин мочь приносить миллион доллар год что составить миллиард доллар год . торговый сеть семь континент включать магазин подконтрольный <person> . итог год чистый прибыль супермаркет российский стандарт бухгалтерский отчётность составить миллион доллар выручка миллиард доллар . retail group контролировать магазин пятёрочка перекрёсток карусель . крупный собственник сеть доля процент акция . В прошлое год получить убыток размер миллион доллар выручка миллиард доллар международный стандарт финансовый отчётность .,выставить_на_продажа торговый_сеть торговый_сеть покупатель_мочь тысяча_квадратный_метр быть_выставить товарный_знак принадлежащий_<person> отдельный_структура retail_group retail_group квадратный_метр магазин_мочь миллион_доллар миллион_доллар миллион_доллар чистый_прибыль российский_стандарт миллиард_доллар миллиард_доллар альфа_группа процент_акция В_прошлое_год убыток_в_размер международный_стандарт финансовый_отчётность,1167 |text владелец супермаркет семь континент <person> занадвор выставить продажа операционный компания торговый сеть право аренда магазин срок год . номер писать коммерсантъ ссылка неназванный источник . покупатель мочь отказаться бренд семь континент отмечаться публикация . информация издание начало занадвор предложить лидер розничный рынок поучаствовать тендер . победитель предлагаться объявить компания предложить хороший ставка аренда магазин площадь тысяча квадратный метр . торг быть выставить оао семь континент принадлежать право товарный знак сеть . недвижимость принадлежащий <person> планироваться передать баланс отдельный структура контроль сохранить предприниматель . информация коммерсант тендер выиграть retail group предложить платить доллар аренда квадратный метр год . образ магазин мочь приносить миллион доллар год что составить миллиард доллар год . торговый сеть семь континент включать магазин подконтрольный <person> . итог год чистый прибыль супермаркет российский стандарт бухгалтерский отчётность составить миллион доллар выручка миллиард доллар . retail group контролировать магазин пятёрочка перекрёсток карусель . крупный собственник сеть доля процент акция . В прошлое год получить убыток размер миллион доллар выручка миллиард доллар международный стандарт финансовый отчётность . |ngramms выставить_на_продажа торговый_сеть торговый_сеть покупатель_мочь тысяча_квадратный_метр быть_выставить товарный_знак принадлежащий_<person> отдельный_структура retail_group retail_group квадратный_метр магазин_мочь миллион_доллар миллион_доллар миллион_доллар чистый_прибыль российский_стандарт миллиард_доллар миллиард_доллар альфа_группа процент_акция В_прошлое_год убыток_в_размер международный_стандарт финансовый_отчётность
383,1283,1283,https://lenta.ru/news/2016/04/04/mechel_elga/,Газпромбанк получит долю в угольном проекте «Мечела»,"«Мечел» договорился с Газпромбанком о продаже долей в дочерних компаниях, обеспечивающих разработку Эльгинского угольного месторождения. Об этом говорится  в релизе металлургического холдинга, поступившем в редакцию «Ленты.ру». В соответствии с соглашением, «Мечел» обязуется продать банку по 49 процентов в компании-операторе проекта «Эльгауголь» (она же владеет лицензией на разработку), фирме «Эльга Дорога», на балансе которой находится железнодорожная ветка от месторождения до БАМа протяженностью 321 километр, и «Мечел-Транс Восток» — транспортном операторе железной дороги. Сделка должна быть совершена до июля. За активы «Мечел» рассчитывает выручить 34,3 миллиарда рублей, которые пойдут на погашение долгов перед Сбербанком и лизинговой «дочкой» этого кредитного учреждения. Опцион, подписанный сторонами, также предусматривает возможность выкупа «Мечелом» данных активов через пять лет. В декабре 2015 года сообщалось, что Сбербанк рассматривает возможность переноса выплат части долга «Мечелом» до 2020 года. Компания должна банку 31,5 миллиарда рублей основного долга и 3,3 миллиарда рублей штрафов и пеней, после чего начнут действовать условия реструктуризации на оставшуюся часть задолженности. Если «Мечел» погасит часть долга Сбербанку, компания получит одобрение и перенос сроков выплат тела основного долга со стороны других крупнейших кредиторов — Газпромбанка и ВТБ, писали «Ведомости». Сбербанк долгое время оставался единственным госбанком-кредитором, который не соглашался на реструктуризацию задолженности «Мечела», рассчитывая продать часть долга сторонним инвесторам. В начале сентября «Мечел» договорился с ВТБ о реструктуризации долга на 70 миллиардов рублей, в конце августа подписал соответствующее соглашение с Газпромбанком. Оказавшийся в сложном финансовом положении «Мечел» ведет переговоры с кредиторами о реструктуризации долгов с начала 2014 года. Заемщиками по кредитным линиям выступают «Мечел» и дочерние предприятия группы — «Южный Кузбасс», «Якутуголь» и Челябинский металлургический комбинат. Чистый долг металлургического холдинга составляет около 6,7 миллиарда долларов. Группа «Мечел» (основным собственником являются Игорь Зюзин и его родственники) — одна из крупнейших российских горно-металлургических компаний, в которой работают около 70 тысяч человек.",Бизнес,Бизнес,1283,"« мечело » договориться с газпромбанк о продажа доля в дочерний компания , обеспечивать разработка эльгинский угольный месторождение . о это говориться в релиз металлургический холдинг , поступить в редакция « лента . ру » . В соответствие с соглашение , « мечело » обязываться продать банка по 49 процент в компания - оператор проект « эльгауголь » ( она же владеть лицензия на разработка ) , фирма « <person> дорога » , на баланс который находиться железнодорожный ветка от месторождение до бама протяжённость 321 километр , и « мечело - транс восток » — транспортный оператор железный дорога . сделка должный быть совершить до июль . за актив « мечело » рассчитывать выручить 34 , 3 миллиард рубль , который пойти на погашение долг перед сбербанк и лизинговый « дочка » это кредитный учреждение . опцион , подписать сторона , также предусматривать возможность выкуп « мечело » дать актив через пять год . В декабрь 2015 год сообщаться , что сбербанк рассматривать возможность перенос выплата часть долг « мечело » до 2020 год . компания должный банка 31 , 5 миллиард рубль основный долг и 3 , 3 миллиард рубль штраф и пеня , после что начать действовать условие реструктуризация на остаться часть задолженность . если « мечело » погасить часть долг сбербанк , компания получить одобрение и перенос срок выплата тело основный долг с сторона другой крупный кредитор — газпромбанк и втб , писать « ведомость » . сбербанк долгий время оставаться единственный госбанк - кредитор , который не_соглашаться на реструктуризация задолженность « мечело » , рассчитывать продать часть долг сторонний инвестор . В начало сентябрь « мечело » договориться с втб о реструктуризация долг на 70 миллиард рубль , в конец август подписать соответствующий соглашение с газпромбанк . оказаться в сложный финансовый положение « мечело » вести переговоры с кредитор о реструктуризация долг с начало 2014 год . заёмщик по кредитный линия выступать « мечело » и дочерний предприятие группа — « южный кузбасс » , « якутуголь » и челябинский металлургический комбинат . чистый долг металлургический холдинг составлять около 6 , 7 миллиард доллар . группа « мечело » ( основный собственник являться <person> <person> и он родственник ) — один из крупный российский горно-металлургический компания , в который работать около 70 тысяча человек .",мечело договориться газпромбанк продажа доля дочерний компания обеспечивать разработка эльгинский угольный месторождение . релиз металлургический холдинг поступить редакция лента . . В соответствие соглашение мечело обязываться банка процент компания оператор проект эльгауголь владеть лицензия разработка фирма <person> дорога баланс находиться железнодорожный ветка месторождение бама протяжённость километр мечело транс восток транспортный оператор железный дорога . сделка быть совершить . актив мечело рассчитывать выручить миллиард рубль пойти погашение долг сбербанк лизинговый дочка кредитный учреждение . опцион подписать сторона предусматривать возможность выкуп мечело дать актив год . В год сообщаться что сбербанк рассматривать возможность перенос выплата часть долг мечело год . компания банка миллиард рубль основный долг миллиард рубль штраф пеня что начать действовать условие реструктуризация остаться часть задолженность . мечело погасить часть долг сбербанк компания получить одобрение перенос срок выплата тело основный долг сторона крупный кредитор газпромбанк втб писать ведомость . сбербанк долгий время оставаться единственный госбанк кредитор не_соглашаться реструктуризация задолженность мечело рассчитывать часть долг сторонний инвестор . В начало мечело договориться втб реструктуризация долг миллиард рубль конец подписать соответствующий соглашение газпромбанк . оказаться сложный финансовый положение мечело вести переговоры кредитор реструктуризация долг начало год . заёмщик кредитный линия выступать мечело дочерний предприятие группа южный кузбасс якутуголь челябинский металлургический комбинат . чистый долг металлургический холдинг составлять миллиард доллар . группа мечело основный собственник являться <person> <person> родственник крупный российский компания работать тысяча человек .,дочерний_компания угольный_месторождение металлургический_холдинг металлургический_холдинг поступить_в_редакция оператор_проект лицензия_на_разработка железный_дорога рассчитывать_выручить миллиард_рубль миллиард_рубль миллиард_рубль миллиард_рубль кредитный_учреждение подписать_сторона возможность_выкуп год_сообщаться рассматривать_возможность перенос_выплата часть_долг часть_долг часть_долг основный_долг основный_долг начать_действовать условие_реструктуризация остаться_часть компания_получить перенос_срок выплата_тело крупный_кредитор долгий_время оставаться_единственный реструктуризация_задолженность реструктуризация_долг реструктуризация_долг подписать_соответствующий финансовый_положение кредитный_линия дочерний_предприятие металлургический_комбинат чистый_долг миллиард_доллар основный_собственник горно_металлургический тысяча_человек,1283 |text мечело договориться газпромбанк продажа доля дочерний компания обеспечивать разработка эльгинский угольный месторождение . релиз металлургический холдинг поступить редакция лента . . В соответствие соглашение мечело обязываться банка процент компания оператор проект эльгауголь владеть лицензия разработка фирма <person> дорога баланс находиться железнодорожный ветка месторождение бама протяжённость километр мечело транс восток транспортный оператор железный дорога . сделка быть совершить . актив мечело рассчитывать выручить миллиард рубль пойти погашение долг сбербанк лизинговый дочка кредитный учреждение . опцион подписать сторона предусматривать возможность выкуп мечело дать актив год . В год сообщаться что сбербанк рассматривать возможность перенос выплата часть долг мечело год . компания банка миллиард рубль основный долг миллиард рубль штраф пеня что начать действовать условие реструктуризация остаться часть задолженность . мечело погасить часть долг сбербанк компания получить одобрение перенос срок выплата тело основный долг сторона крупный кредитор газпромбанк втб писать ведомость . сбербанк долгий время оставаться единственный госбанк кредитор не_соглашаться реструктуризация задолженность мечело рассчитывать часть долг сторонний инвестор . В начало мечело договориться втб реструктуризация долг миллиард рубль конец подписать соответствующий соглашение газпромбанк . оказаться сложный финансовый положение мечело вести переговоры кредитор реструктуризация долг начало год . заёмщик кредитный линия выступать мечело дочерний предприятие группа южный кузбасс якутуголь челябинский металлургический комбинат . чистый долг металлургический холдинг составлять миллиард доллар . группа мечело основный собственник являться <person> <person> родственник крупный российский компания работать тысяча человек . |ngramms дочерний_компания угольный_месторождение металлургический_холдинг металлургический_холдинг поступить_в_редакция оператор_проект лицензия_на_разработка железный_дорога рассчитывать_выручить миллиард_рубль миллиард_рубль миллиард_рубль миллиард_рубль кредитный_учреждение подписать_сторона возможность_выкуп год_сообщаться рассматривать_возможность перенос_выплата часть_долг часть_долг часть_долг основный_долг основный_долг начать_действовать условие_реструктуризация остаться_часть компания_получить перенос_срок выплата_тело крупный_кредитор долгий_время оставаться_единственный реструктуризация_задолженность реструктуризация_долг реструктуризация_долг подписать_соответствующий финансовый_положение кредитный_линия дочерний_предприятие металлургический_комбинат чистый_долг миллиард_доллар основный_собственник горно_металлургический тысяча_человек
